angulo,X,Y,Z,XP,XN,YP,YN,ZP,ZN,Xr,Yr,Zr,XPr,XNr,YPr,YNr,ZPr,ZNr,X1,X2,X3,X4,Y1,Y2,Y3,Y4,Z1,Z2,Z3,Z4,X1r,X2r,X3r,X4r,Y1r,Y2r,Y3r,Y4r,Z1r,Z2r,Z3r,Z4r,S1P,S1N,S2P,S2N,S3P,S3N,S4P,S4N,P_EXC,P_ESQ,P_LAY
293.0000,1.21974,2.5794,2.5794,5,8.10796e-09,7.55851e-09,5,7.55851e-09,5,1.21894,2.57783,2.57783,4.99997,0.000161058,4.53427e-05,4.99996,4.53427e-05,4.99996,5,5,5,5,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,8.34171e-09,3.75469e-08,3.75436e-08,3.75449e-08,5,5,5,5,1.67943e-08,1.67939e-08,1.67939e-08,1.67939e-08,8.44406e-09,3.78034e-08,3.7801e-08,3.78017e-08,2.49988,2.50012,2.49995,2.50005,2.50005,2.49995,2.50012,2.49988,-0.0001,-0.074135,-0.0740897
293.5000,1.21974,2.5794,2.5794,5,8.10796e-09,7.55851e-09,5,7.55851e-09,5,1.21894,2.57783,2.57783,4.99997,0.000161058,4.53427e-05,4.99996,4.53427e-05,4.99996,5,5,5,5,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,8.3417e-09,3.75441e-08,3.75446e-08,3.75441e-08,5,5,5,5,1.67943e-08,1.67939e-08,1.67939e-08,1.67939e-08,8.44406e-09,3.7803e-08,3.78007e-08,3.7802e-08,2.49988,2.50012,2.49995,2.50005,2.50005,2.49995,2.50012,2.49988,-0.0001,-0.0741344,-0.074089
294.0000,1.21974,2.5794,2.5794,5,8.10796e-09,7.55851e-09,5,7.55851e-09,5,1.21894,2.57783,2.57783,4.99997,0.000161058,4.53427e-05,4.99996,4.53427e-05,4.99996,5,5,5,5,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,8.34172e-09,3.75466e-08,3.75412e-08,3.75451e-08,5,5,5,5,1.67943e-08,1.67939e-08,1.67939e-08,1.67939e-08,8.44407e-09,3.78034e-08,3.78011e-08,3.78021e-08,2.49988,2.50012,2.49996,2.50004,2.50004,2.49996,2.50012,2.49988,-0.0001,-0.0741339,-0.0740885
294.5000,1.21974,2.5794,2.5794,5,8.10796e-09,7.55851e-09,5,7.55851e-09,5,1.21894,2.57783,2.57783,4.99997,0.000161058,4.53427e-05,4.99996,4.53427e-05,4.99996,5,5,5,5,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,8.34172e-09,3.75433e-08,3.75438e-08,3.75445e-08,5,5,5,5,1.67943e-08,1.67939e-08,1.67939e-08,1.67939e-08,8.44408e-09,3.78033e-08,3.78008e-08,3.7802e-08,2.49988,2.50012,2.49996,2.50004,2.50004,2.49996,2.50012,2.49988,-0.0001,-0.0741334,-0.074088
295.0000,1.21974,2.5794,2.5794,5,8.10796e-09,7.55851e-09,5,7.55851e-09,5,1.21894,2.57783,2.57783,4.99997,0.000161058,4.53427e-05,4.99996,4.53427e-05,4.99996,5,5,5,5,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,8.34173e-09,3.75443e-08,3.75421e-08,3.75446e-08,5,5,5,5,1.67943e-08,1.67939e-08,1.67939e-08,1.67939e-08,8.44408e-09,3.78027e-08,3.78012e-08,3.78021e-08,2.49988,2.50012,2.49996,2.50004,2.50004,2.49996,2.50012,2.49988,-0.0001,-0.074133,-0.0740876
295.5000,1.21974,2.5794,2.5794,5,8.10796e-09,7.55851e-09,5,7.55851e-09,5,1.21894,2.57783,2.57783,4.99997,0.000161058,4.53427e-05,4.99996,4.53427e-05,4.99996,5,5,5,5,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,8.34173e-09,3.75453e-08,3.7544e-08,3.75446e-08,5,5,5,5,1.67943e-08,1.67939e-08,1.67939e-08,1.67939e-08,8.44409e-09,3.78026e-08,3.7801e-08,3.78023e-08,2.49988,2.50012,2.49996,2.50004,2.50004,2.49996,2.50012,2.49988,-0.0001,-0.0741327,-0.0740873
296.0000,1.21974,2.5794,2.5794,5,8.10796e-09,7.55851e-09,5,7.55851e-09,5,1.21894,2.57783,2.57783,4.99997,0.000161058,4.53427e-05,4.99996,4.53427e-05,4.99996,5,5,5,5,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,8.34175e-09,3.75463e-08,3.75424e-08,3.7545e-08,5,5,5,5,1.67943e-08,1.67939e-08,1.67939e-08,1.67939e-08,8.4441e-09,3.78026e-08,3.78009e-08,3.78023e-08,2.49988,2.50012,2.49996,2.50004,2.50004,2.49996,2.50012,2.49988,-0.0001,-0.0741325,-0.0740871
296.5000,1.21974,2.5794,2.5794,5,8.10796e-09,7.55851e-09,5,7.55851e-09,5,1.21894,2.57783,2.57783,4.99997,0.000161058,4.53427e-05,4.99996,4.53427e-05,4.99996,5,5,5,5,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,8.34175e-09,3.75441e-08,3.75445e-08,3.75456e-08,5,5,5,5,1.67943e-08,1.67939e-08,1.67939e-08,1.67939e-08,8.44411e-09,3.78026e-08,3.7801e-08,3.78022e-08,2.49988,2.50012,2.49996,2.50004,2.50004,2.49996,2.50012,2.49988,-0.0001,-0.0741324,-0.074087
297.0000,1.21974,2.5794,2.5794,5,8.10796e-09,7.55851e-09,5,7.55851e-09,5,1.21894,2.57783,2.57783,4.99997,0.000161058,4.53427e-05,4.99996,4.53427e-05,4.99996,5,5,5,5,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,8.34176e-09,3.75459e-08,3.75421e-08,3.75457e-08,5,5,5,5,1.67943e-08,1.67939e-08,1.67939e-08,1.67939e-08,8.44412e-09,3.78024e-08,3.78008e-08,3.78025e-08,2.49988,2.50012,2.49996,2.50004,2.50004,2.49996,2.50012,2.49988,-0.0001,-0.0741323,-0.074087
297.5000,1.21974,2.5794,2.5794,5,8.10796e-09,7.55851e-09,5,7.55851e-09,5,1.21894,2.57783,2.57783,4.99997,0.000161058,4.53427e-05,4.99996,4.53427e-05,4.99996,5,5,5,5,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,8.34177e-09,3.75434e-08,3.7544e-08,3.75452e-08,5,5,5,5,1.67943e-08,1.67939e-08,1.67939e-08,1.67939e-08,8.44413e-09,3.78026e-08,3.78012e-08,3.78028e-08,2.49988,2.50012,2.49996,2.50004,2.50004,2.49996,2.50012,2.49988,-0.0001,-0.0741324,-0.074087
298.0000,1.21974,2.5794,2.5794,5,8.10796e-09,7.55851e-09,5,7.55851e-09,5,1.21894,2.57783,2.57783,4.99997,0.000161058,4.53427e-05,4.99996,4.53427e-05,4.99996,5,5,5,5,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,8.34179e-09,3.75457e-08,3.7541e-08,3.75454e-08,5,5,5,5,1.67943e-08,1.67939e-08,1.67939e-08,1.67939e-08,8.44415e-09,3.78026e-08,3.78009e-08,3.78026e-08,2.49988,2.50012,2.49996,2.50004,2.50004,2.49996,2.50012,2.49988,-0.0001,-0.0741325,-0.0740872
298.5000,1.21974,2.5794,2.5794,5,8.10796e-09,7.55851e-09,5,7.55851e-09,5,1.21894,2.57783,2.57783,4.99997,0.000161058,4.53427e-05,4.99996,4.53427e-05,4.99996,5,5,5,5,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,8.34179e-09,3.75438e-08,3.75441e-08,3.75466e-08,5,5,5,5,1.67943e-08,1.67939e-08,1.67939e-08,1.67939e-08,8.44416e-09,3.78025e-08,3.78012e-08,3.78031e-08,2.49988,2.50012,2.49996,2.50004,2.50004,2.49996,2.50012,2.49988,-0.0001,-0.0741327,-0.0740875
299.0000,1.21974,2.5794,2.5794,5,8.10796e-09,7.55851e-09,5,7.55851e-09,5,1.21894,2.57783,2.57783,4.99997,0.000161058,4.53427e-05,4.99996,4.53427e-05,4.99996,5,5,5,5,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,8.34181e-09,3.7545e-08,3.75416e-08,3.75439e-08,5,5,5,5,1.67943e-08,1.67939e-08,1.67939e-08,1.67939e-08,8.44418e-09,3.78025e-08,3.7801e-08,3.78034e-08,2.49988,2.50012,2.49997,2.50003,2.50003,2.49997,2.50012,2.49988,-0.0001,-0.0741331,-0.0740879
