angulo,X,Y,Z,XP,XN,YP,YN,ZP,ZN,Xr,Yr,Zr,XPr,XNr,YPr,YNr,ZPr,ZNr,X1,X2,X3,X4,Y1,Y2,Y3,Y4,Z1,Z2,Z3,Z4,X1r,X2r,X3r,X4r,Y1r,Y2r,Y3r,Y4r,Z1r,Z2r,Z3r,Z4r,S1P,S1N,S2P,S2N,S3P,S3N,S4P,S4N,P_EXC,P_ESQ,P_LAY
5.0000,2.17814,2.5794,1.48635,7.59397e-09,4.95175,7.55851e-09,5,5,7.82861e-08,2.17483,2.57783,1.48437,8.20082e-05,4.94294,4.53427e-05,4.99996,4.99997,0.000166797,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,5,8.34161e-09,5,5,1.67901e-08,5,1.67901e-08,1.67897e-08,1.67931e-08,1.67943e-08,1.67931e-08,1.67889e-08,5,8.44396e-09,5,5,2.46786,2.53214,2.5383,2.4617,2.4617,2.5383,2.53214,2.46786,-0.0001,-0.0739301,-0.0736127
5.5000,2.17814,2.5794,1.48635,7.59397e-09,4.95175,7.55851e-09,5,5,7.82861e-08,2.17483,2.57783,1.48437,8.20082e-05,4.94294,4.53427e-05,4.99996,4.99997,0.000166797,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,5,8.34161e-09,5,5,1.67901e-08,5,1.67901e-08,1.67897e-08,1.67931e-08,1.67943e-08,1.67931e-08,1.67889e-08,5,8.44396e-09,5,5,2.4682,2.5318,2.53858,2.46142,2.46142,2.53858,2.5318,2.4682,-0.0001,-0.0739265,-0.0736083
6.0000,2.17814,2.5794,1.48635,7.59397e-09,4.95175,7.55851e-09,5,5,7.82861e-08,2.17483,2.57783,1.48437,8.20082e-05,4.94294,4.53427e-05,4.99996,4.99997,0.000166797,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,5,8.3416e-09,5,5,1.67901e-08,5,1.67901e-08,1.67897e-08,1.67931e-08,1.67943e-08,1.67931e-08,1.67889e-08,5,8.44396e-09,5,5,2.46853,2.53147,2.53886,2.46114,2.46114,2.53886,2.53147,2.46853,-0.0001,-0.0739333,-0.0736142
6.5000,2.17814,2.5794,1.48635,7.59397e-09,4.95175,7.55851e-09,5,5,7.82861e-08,2.17483,2.57783,1.48437,8.20082e-05,4.94294,4.53427e-05,4.99996,4.99997,0.000166797,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,5,8.34161e-09,5,5,1.67901e-08,5,1.67901e-08,1.67897e-08,1.67931e-08,1.67943e-08,1.67931e-08,1.67889e-08,5,8.44396e-09,5,5,2.46887,2.53113,2.53913,2.46087,2.46087,2.53913,2.53113,2.46887,-0.0001,-0.0739439,-0.0736241
7.0000,2.17814,2.5794,1.48635,7.59397e-09,4.95175,7.55851e-09,5,5,7.82861e-08,2.17483,2.57783,1.48437,8.20082e-05,4.94294,4.53427e-05,4.99996,4.99997,0.000166797,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,5,8.3416e-09,5,5,1.67901e-08,5,1.67901e-08,1.67897e-08,1.67931e-08,1.67943e-08,1.67931e-08,1.67889e-08,5,8.44396e-09,5,5,2.46922,2.53078,2.5394,2.4606,2.4606,2.5394,2.53078,2.46922,-0.0001,-0.0739552,-0.0736348
7.5000,2.17814,2.5794,1.48635,7.59397e-09,4.95175,7.55851e-09,5,5,7.82861e-08,2.17483,2.57783,1.48437,8.20082e-05,4.94294,4.53427e-05,4.99996,4.99997,0.000166797,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,5,8.34161e-09,5,5,1.67901e-08,5,1.67901e-08,1.67897e-08,1.67931e-08,1.67943e-08,1.67931e-08,1.67889e-08,5,8.44395e-09,5,5,2.46956,2.53044,2.53967,2.46033,2.46033,2.53967,2.53044,2.46956,-0.0001,-0.0739658,-0.0736448
8.0000,2.17814,2.5794,1.48635,7.59397e-09,4.95175,7.55851e-09,5,5,7.82861e-08,2.17483,2.57783,1.48437,8.20082e-05,4.94294,4.53427e-05,4.99996,4.99997,0.000166797,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,5,8.3416e-09,5,5,1.67901e-08,5,1.67901e-08,1.67897e-08,1.67931e-08,1.67943e-08,1.67931e-08,1.67889e-08,5,8.44396e-09,5,5,2.46991,2.53009,2.53993,2.46007,2.46007,2.53993,2.53009,2.46991,-0.0001,-0.0739741,-0.0736527
8.5000,2.17814,2.5794,1.48635,7.59397e-09,4.95175,7.55851e-09,5,5,7.82861e-08,2.17483,2.57783,1.48437,8.20082e-05,4.94294,4.53427e-05,4.99996,4.99997,0.000166797,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,5,8.34161e-09,5,5,1.67901e-08,5,1.67901e-08,1.67897e-08,1.67931e-08,1.67943e-08,1.67931e-08,1.67889e-08,5,8.44396e-09,5,5,2.47026,2.52974,2.54019,2.45981,2.45981,2.54019,2.52974,2.47026,-0.0001,-0.0739794,-0.0736575
9.0000,2.17814,2.5794,1.48635,7.59397e-09,4.95175,7.55851e-09,5,5,7.82861e-08,2.17483,2.57783,1.48437,8.20082e-05,4.94294,4.53427e-05,4.99996,4.99997,0.000166797,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,5,8.3416e-09,5,5,1.67901e-08,5,1.67901e-08,1.67897e-08,1.67931e-08,1.67943e-08,1.67931e-08,1.67889e-08,5,8.44395e-09,5,5,2.47061,2.52939,2.54045,2.45955,2.45955,2.54045,2.52939,2.47061,-0.0001,-0.0739807,-0.0736587
9.5000,2.17814,2.5794,1.48635,7.59397e-09,4.95175,7.55851e-09,5,5,7.82861e-08,2.17483,2.57783,1.48437,8.20082e-05,4.94294,4.53427e-05,4.99996,4.99997,0.000166797,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,5,8.34161e-09,5,5,1.67901e-08,5,1.67901e-08,1.67897e-08,1.67931e-08,1.67943e-08,1.67931e-08,1.67889e-08,5,8.44396e-09,5,5,2.47096,2.52904,2.54071,2.45929,2.45929,2.54071,2.52904,2.47096,-0.0001,-0.0739789,-0.0736567
