# bias1 bias2 bias3 bias4 gain
4.8 4.6 1.92 1.42 1.0116
4.8 4.61 1.88 1.38 1.21167
4.8 4.61 1.88 1.39 1.09605
4.8 4.61 1.88 1.4 1.86116
4.8 4.61 1.88 1.41 1.18583
4.8 4.61 1.88 1.42 1.13451
4.8 4.61 1.89 1.38 1.001
4.8 4.61 1.89 1.39 1.12286
4.8 4.61 1.89 1.4 1.0697
4.8 4.61 1.89 1.41 1.05363
4.8 4.61 1.89 1.42 1.3724
4.8 4.61 1.9 1.38 1.11409
4.8 4.61 1.9 1.39 0.964045
4.8 4.61 1.9 1.4 1.10498
4.8 4.61 1.9 1.41 1.08666
4.8 4.61 1.9 1.42 1.13305
4.8 4.61 1.91 1.38 1.05024
4.8 4.61 1.91 1.39 1.01987
4.8 4.61 1.91 1.4 1.01352
4.8 4.61 1.91 1.41 1.16935
4.8 4.61 1.91 1.42 1.25883
4.8 4.61 1.92 1.38 0.984111
4.8 4.61 1.92 1.39 1.02825
4.8 4.61 1.92 1.4 0.925944
4.8 4.61 1.92 1.41 1.13086
4.8 4.61 1.92 1.42 1.0655
4.8 4.62 1.88 1.38 0.956009
4.8 4.62 1.88 1.39 1.33664
4.8 4.62 1.88 1.4 1.2755
4.8 4.62 1.88 1.41 1.32873
4.8 4.62 1.88 1.42 1.12885
4.8 4.62 1.89 1.38 1.13447
4.8 4.62 1.89 1.39 1.0023
4.8 4.62 1.89 1.4 1.00341
4.8 4.62 1.89 1.41 1.39873
4.8 4.62 1.89 1.42 1.09669
4.8 4.62 1.9 1.38 0.985357
4.8 4.62 1.9 1.39 0.907283
4.8 4.62 1.9 1.4 1.06054
4.8 4.62 1.9 1.41 1.05231
4.8 4.62 1.9 1.42 0.986883
4.8 4.62 1.91 1.38 1.22424
4.8 4.62 1.91 1.39 1.18958
4.8 4.62 1.91 1.4 1.1102
4.8 4.62 1.91 1.41 1.16865
4.8 4.62 1.91 1.42 0.963266
4.8 4.62 1.92 1.38 1.27575
4.8 4.62 1.92 1.39 1.18209
4.8 4.62 1.92 1.4 1.63278
4.8 4.62 1.92 1.41 1.30047
4.8 4.62 1.92 1.42 0.999158
4.81 4.58 1.88 1.38 1.17414
4.81 4.58 1.88 1.39 1.14095
4.81 4.58 1.88 1.4 0.909922
4.81 4.58 1.88 1.41 1.10665
4.81 4.58 1.88 1.42 1.05773
4.81 4.58 1.89 1.38 1.07416
4.81 4.58 1.89 1.39 1.10408
4.81 4.58 1.89 1.4 1.0986
4.81 4.58 1.89 1.41 1.07442
4.81 4.58 1.89 1.42 1.07078
4.81 4.58 1.9 1.38 1.07009
4.81 4.58 1.9 1.39 1.49082
4.81 4.58 1.9 1.4 1.01721
4.81 4.58 1.9 1.41 1.14386
4.81 4.58 1.9 1.42 1.29377
4.81 4.58 1.91 1.38 1.12445
4.81 4.58 1.91 1.39 1.14446
4.81 4.58 1.91 1.4 1.191
4.81 4.58 1.91 1.41 1.05367
4.81 4.58 1.91 1.42 0.931402
4.81 4.58 1.92 1.38 1.23246
4.81 4.58 1.92 1.39 1.10819
4.81 4.58 1.92 1.4 1.34826
4.81 4.58 1.92 1.41 1.1333
4.81 4.58 1.92 1.42 1.20742
4.81 4.59 1.88 1.38 1.31106
4.81 4.59 1.88 1.39 1.06591
4.81 4.59 1.88 1.4 1.18179
4.81 4.59 1.88 1.41 1.07963
4.81 4.59 1.88 1.42 1.49733
4.81 4.59 1.89 1.38 1.00863
4.81 4.59 1.89 1.39 1.00561
4.81 4.59 1.89 1.4 2.22134
4.81 4.59 1.89 1.41 1.00924
4.81 4.59 1.89 1.42 1.02797
4.81 4.59 1.9 1.38 0.98619
4.81 4.59 1.9 1.39 0.990469
4.81 4.59 1.9 1.4 1.21789
4.81 4.59 1.9 1.41 1.06592
4.81 4.59 1.9 1.42 1.133
4.81 4.59 1.91 1.38 1.33
4.81 4.59 1.91 1.39 0.995857
4.81 4.59 1.91 1.4 1.10568
4.81 4.59 1.91 1.41 1.11214
4.81 4.59 1.91 1.42 1.12346
4.81 4.59 1.92 1.38 1.0039
4.81 4.59 1.92 1.39 1.28443
4.81 4.59 1.92 1.4 1.10503
4.81 4.59 1.92 1.41 1.45769
4.81 4.59 1.92 1.42 0.96981
4.81 4.6 1.88 1.38 1.03428
4.81 4.6 1.88 1.39 1.27139
4.81 4.6 1.88 1.4 0.978836
4.81 4.6 1.88 1.41 1.05007
4.81 4.6 1.88 1.42 1.09326
4.81 4.6 1.89 1.38 1.22677
4.81 4.6 1.89 1.39 1.19345
4.81 4.6 1.89 1.4 1.31215
4.81 4.6 1.89 1.41 1.38357
4.81 4.6 1.89 1.42 1.075
4.81 4.6 1.9 1.38 0.95699
4.81 4.6 1.9 1.39 1.10793
4.81 4.6 1.9 1.4 1.11101
4.81 4.6 1.9 1.41 1.05129
4.81 4.6 1.9 1.42 0.892709
4.81 4.6 1.91 1.38 1.07182
4.81 4.6 1.91 1.39 1.21916
4.81 4.6 1.91 1.4 0.969249
4.81 4.6 1.91 1.41 1.0134
4.81 4.6 1.91 1.42 1.3401
4.81 4.6 1.92 1.38 0.949807
4.81 4.6 1.92 1.39 0.973379
4.81 4.6 1.92 1.4 0.951152
4.81 4.6 1.92 1.41 1.21075
4.81 4.6 1.92 1.42 0.971548
4.81 4.61 1.88 1.38 1.05456
4.81 4.61 1.88 1.39 1.09677
4.81 4.61 1.88 1.4 1.2331
4.81 4.61 1.88 1.41 1.48021
4.81 4.61 1.88 1.42 1.05518
4.81 4.61 1.89 1.38 0.986597
4.81 4.61 1.89 1.39 1.42956
4.81 4.61 1.89 1.4 1.09665
